iter	Passed	Remaining
0	1	101
1	1	88
2	2	81
3	3	74
4	3	73
5	4	73
6	5	72
7	6	72
8	7	72
9	8	72
10	8	71
11	9	69
12	10	68
13	11	69
14	12	69
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	19	63
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	55
33	28	54
34	29	53
35	29	53
36	30	52
37	31	50
38	32	50
39	33	49
40	34	48
41	34	47
42	35	46
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
